09/27/2025 22:46:03.343469 ./pingserver:     Creating C150NastyDgmSocket(nastiness=3)
09/27/2025 22:46:03.346892 ./pingserver:     Ready to accept messages
09/27/2025 22:46:16.598624 ./pingserver:     C150DgmSocket::read: successful read with len=2 |`.|
09/27/2025 22:46:16.598681 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 2 |`.|
09/27/2025 22:46:16.598729 ./pingserver:     Successfully read 2 bytes. Message="`"
09/27/2025 22:46:16.598839 ./pingserver:     Responding with message="You said `. Don't you know how to play ping pong?"
09/27/2025 22:46:16.598906 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=50 |You said `. Don't you know how to play ping pong?.|
09/27/2025 22:46:16.599046 ./pingserver:     C150DgmSocket::write: Success writing packet with len=50 |You said `. Don't you know how to play ping pong?.|
09/27/2025 22:46:19.613932 ./pingserver:     C150DgmSocket::read: successful read with len=2 |1.|
09/27/2025 22:46:19.613991 ./pingserver:     C150NastyDgmSocket::read: DELAYING packet of length 2 |1.|
09/27/2025 22:46:22.621757 ./pingserver:     C150DgmSocket::read: successful read with len=2 |1.|
09/27/2025 22:46:22.621811 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 2 |1.|
09/27/2025 22:46:22.621859 ./pingserver:     Successfully read 2 bytes. Message="1"
09/27/2025 22:46:22.621909 ./pingserver:     Responding with message="You said 1. Don't you know how to play ping pong?"
09/27/2025 22:46:22.621973 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=50 |You said 1. Don't you know how to play ping pong?.|
09/27/2025 22:46:22.622127 ./pingserver:     C150DgmSocket::write: Success writing packet with len=50 |You said 1. Don't you know how to play ping pong?.|
09/27/2025 22:46:33.911179 ./pingserver:     C150DgmSocket::read: successful read with len=2 |2.|
09/27/2025 22:46:33.911234 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 2 |2.|
09/27/2025 22:46:33.911282 ./pingserver:     Successfully read 2 bytes. Message="2"
09/27/2025 22:46:33.911333 ./pingserver:     Responding with message="You said 2. Don't you know how to play ping pong?"
09/27/2025 22:46:33.911396 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=50 |You said 2. Don't you know how to play ping pong?.|
09/27/2025 22:46:33.911595 ./pingserver:     C150DgmSocket::write: Success writing packet with len=50 |You said 2. Don't you know how to play ping pong?.|
09/27/2025 22:46:37.771035 ./pingserver:     C150DgmSocket::read: successful read with len=2 |3.|
09/27/2025 22:46:37.771090 ./pingserver:     C150NastyDgmSocket::read: DELAYING packet of length 2 |3.|
09/27/2025 22:46:40.797516 ./pingserver:     C150DgmSocket::read: successful read with len=2 |3.|
09/27/2025 22:46:40.797540 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 2 |3.|
09/27/2025 22:46:40.797557 ./pingserver:     Successfully read 2 bytes. Message="3"
09/27/2025 22:46:40.797575 ./pingserver:     Responding with message="You said 3. Don't you know how to play ping pong?"
09/27/2025 22:46:40.797601 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=50 |You said 3. Don't you know how to play ping pong?.|
09/27/2025 22:46:40.797681 ./pingserver:     C150DgmSocket::write: Success writing packet with len=50 |You said 3. Don't you know how to play ping pong?.|
09/27/2025 22:46:40.797702 ./pingserver:     C150NastyDgmSocket::read: delivering delayed packet. readlen=2 |3.|
09/27/2025 22:46:40.797718 ./pingserver:     Successfully read 2 bytes. Message="3"
09/27/2025 22:46:40.797734 ./pingserver:     Responding with message="You said 3. Don't you know how to play ping pong?"
09/27/2025 22:46:40.797751 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=50 |You said 3. Don't you know how to play ping pong?.|
09/27/2025 22:46:40.797780 ./pingserver:     C150DgmSocket::write: Success writing packet with len=50 |You said 3. Don't you know how to play ping pong?.|
09/27/2025 22:47:27.059864 ./pingserver:     C150DgmSocket::read: successful read with len=2 |4.|
09/27/2025 22:47:27.059924 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 2 |4.|
09/27/2025 22:47:27.059972 ./pingserver:     Successfully read 2 bytes. Message="4"
09/27/2025 22:47:27.060022 ./pingserver:     Responding with message="You said 4. Don't you know how to play ping pong?"
09/27/2025 22:47:27.060086 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=50 |You said 4. Don't you know how to play ping pong?.|
09/27/2025 22:47:27.060235 ./pingserver:     C150DgmSocket::write: Success writing packet with len=50 |You said 4. Don't you know how to play ping pong?.|
09/27/2025 22:47:27.060290 ./pingserver:     C150NastyDgmSocket::read: delivering delayed packet. readlen=2 |1.|
09/27/2025 22:47:27.060337 ./pingserver:     Successfully read 2 bytes. Message="1"
09/27/2025 22:47:27.060383 ./pingserver:     Responding with message="You said 1. Don't you know how to play ping pong?"
09/27/2025 22:47:27.060474 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=50 |You said 1. Don't you know how to play ping pong?.|
09/27/2025 22:47:27.060546 ./pingserver:     C150DgmSocket::write: Success writing packet with len=50 |You said 1. Don't you know how to play ping pong?.|
09/27/2025 22:47:42.664700 ./pingserver:     C150DgmSocket::read: successful read with len=2 |5.|
09/27/2025 22:47:42.664756 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 2 |5.|
09/27/2025 22:47:42.664805 ./pingserver:     Successfully read 2 bytes. Message="5"
09/27/2025 22:47:42.664855 ./pingserver:     Responding with message="You said 5. Don't you know how to play ping pong?"
09/27/2025 22:47:42.664918 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=50 |You said 5. Don't you know how to play ping pong?.|
09/27/2025 22:47:42.665259 ./pingserver:     C150DgmSocket::write: Success writing packet with len=50 |You said 5. Don't you know how to play ping pong?.|
09/27/2025 22:47:47.637108 ./pingserver:     C150DgmSocket::read: successful read with len=2 |6.|
09/27/2025 22:47:47.637163 ./pingserver:     C150NastyDgmSocket::read: dropping packet of length 2 |6.|
09/27/2025 22:47:50.685123 ./pingserver:     C150DgmSocket::read: successful read with len=2 |6.|
09/27/2025 22:47:50.685179 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 2 |6.|
09/27/2025 22:47:50.685227 ./pingserver:     Successfully read 2 bytes. Message="6"
09/27/2025 22:47:50.685278 ./pingserver:     Responding with message="You said 6. Don't you know how to play ping pong?"
09/27/2025 22:47:50.685342 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=50 |You said 6. Don't you know how to play ping pong?.|
09/27/2025 22:47:50.685564 ./pingserver:     C150DgmSocket::write: Success writing packet with len=50 |You said 6. Don't you know how to play ping pong?.|
09/27/2025 22:47:55.999028 ./pingserver:     C150DgmSocket::read: successful read with len=2 |7.|
09/27/2025 22:47:55.999083 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 2 |7.|
09/27/2025 22:47:55.999131 ./pingserver:     Successfully read 2 bytes. Message="7"
09/27/2025 22:47:55.999182 ./pingserver:     Responding with message="You said 7. Don't you know how to play ping pong?"
09/27/2025 22:47:55.999246 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=50 |You said 7. Don't you know how to play ping pong?.|
09/27/2025 22:47:55.999406 ./pingserver:     C150DgmSocket::write: Success writing packet with len=50 |You said 7. Don't you know how to play ping pong?.|
09/27/2025 22:48:01.483009 ./pingserver:     C150DgmSocket::read: successful read with len=2 |8.|
09/27/2025 22:48:01.483030 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 2 |8.|
09/27/2025 22:48:01.483047 ./pingserver:     Successfully read 2 bytes. Message="8"
09/27/2025 22:48:01.483066 ./pingserver:     Responding with message="You said 8. Don't you know how to play ping pong?"
09/27/2025 22:48:01.483105 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=50 |You said 8. Don't you know how to play ping pong?.|
09/27/2025 22:48:01.483178 ./pingserver:     C150DgmSocket::write: Success writing packet with len=50 |You said 8. Don't you know how to play ping pong?.|
09/27/2025 22:48:06.880688 ./pingserver:     C150DgmSocket::read: successful read with len=2 |9.|
09/27/2025 22:48:06.880744 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 2 |9.|
09/27/2025 22:48:06.880791 ./pingserver:     Successfully read 2 bytes. Message="9"
09/27/2025 22:48:06.880842 ./pingserver:     Responding with message="You said 9. Don't you know how to play ping pong?"
09/27/2025 22:48:06.880906 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=50 |You said 9. Don't you know how to play ping pong?.|
09/27/2025 22:48:06.881044 ./pingserver:     C150DgmSocket::write: Success writing packet with len=50 |You said 9. Don't you know how to play ping pong?.|
09/27/2025 22:48:11.471394 ./pingserver:     C150DgmSocket::read: successful read with len=3 |10.|
09/27/2025 22:48:11.471486 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 3 |10.|
09/27/2025 22:48:11.471537 ./pingserver:     Successfully read 3 bytes. Message="10"
09/27/2025 22:48:11.471589 ./pingserver:     Responding with message="You said 10. Don't you know how to play ping pong?"
09/27/2025 22:48:11.471652 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=51 |You said 10. Don't you know how to play ping pong?.|
09/27/2025 22:48:11.471822 ./pingserver:     C150DgmSocket::write: Success writing packet with len=51 |You said 10. Don't you know how to play ping pong?.|
09/27/2025 22:48:15.578670 ./pingserver:     C150DgmSocket::read: successful read with len=3 |11.|
09/27/2025 22:48:15.578726 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 3 |11.|
09/27/2025 22:48:15.578774 ./pingserver:     Successfully read 3 bytes. Message="11"
09/27/2025 22:48:15.578824 ./pingserver:     Responding with message="You said 11. Don't you know how to play ping pong?"
09/27/2025 22:48:15.578888 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=51 |You said 11. Don't you know how to play ping pong?.|
09/27/2025 22:48:15.579084 ./pingserver:     C150DgmSocket::write: Success writing packet with len=51 |You said 11. Don't you know how to play ping pong?.|
09/27/2025 22:48:19.928047 ./pingserver:     C150DgmSocket::read: successful read with len=3 |12.|
09/27/2025 22:48:19.928102 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 3 |12.|
09/27/2025 22:48:19.928149 ./pingserver:     Successfully read 3 bytes. Message="12"
09/27/2025 22:48:19.928200 ./pingserver:     Responding with message="You said 12. Don't you know how to play ping pong?"
